match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1254070,0,160.5,0.25,0.6666666666666666,0.0,5.0,1.0,3.0,0.0,4,3,163.6,147.6,176.0,172.4,0.5862068965517241,0.5510204081632653,0.5333333333333333,0.4285714285714285,1
1254072,1,170.83333333333334,0.6666666666666666,0.6666666666666666,0.0,14.0,8.0,2.0,1.0,4,2,163.0,152.8,171.6,168.4,0.6595744680851063,0.6078431372549019,0.5846153846153846,0.5,0
1254071,0,157.21428571428572,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1,1,174.0,174.0,152.2,161.2,0.0,0.0,0.5428571428571428,0.4166666666666667,1
1254073,0,176.57142857142858,0.5714285714285714,0.3333333333333333,0.0,10.0,10.0,0.0,2.0,2,3,165.4,186.4,159.2,150.8,0.5454545454545454,0.4117647058823529,0.5,0.48,0
1254074,0,152.625,0.25,0.5,0.0,0.0,0.0,0.0,0.0,3,1,151.0,146.6,160.5,160.75,0.5862068965517241,0.54,0.0,0.0,0
1254075,0,176.875,0.625,0.0,0.25,12.0,8.0,2.0,1.0,2,1,177.6,176.8,163.6,185.6,0.5757575757575758,0.5,0.5454545454545454,0.4117647058823529,0
1254076,1,172.05555555555554,0.6666666666666666,0.75,1.0,16.0,9.0,1.0,2.0,4,4,171.4,158.8,165.0,155.4,0.6595744680851063,0.6078431372549019,0.5076923076923077,0.48,1
1254078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,154.8,154.8,166.0,177.4,1.0,0.0,0.5757575757575758,0.5,0
1254079,1,124.5,1.0,0.0,0.0,0.0,4.0,0.0,3.0,4,3,163.2,167.2,166.4,165.8,0.5076923076923077,0.48,0.5333333333333333,0.375,0
1254080,0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,2.0,1,4,147.4,153.0,178.8,152.6,0.5428571428571428,0.4166666666666667,0.6595744680851063,0.6153846153846154,1
